#  site  atom  site  atom  shell  is    irs        x             y             z             r          Joj(mRy)       Joj(meV)
    2     Co    2     Co     2     1     2     -7.247103      0.000000      0.000000      7.247103      1.3232452     18.0036660
    2     Co    2     Co     2     2     3      0.000000     -7.247103      0.000000      7.247103      1.3232443     18.0036543
    2     Co    2     Co     2     3     4      0.000000      0.000000     -7.247103      7.247103      1.3232453     18.0036672
    2     Co    2     Co     2     4     5      0.000000      0.000000      7.247103      7.247103      1.3232446     18.0036578
    2     Co    2     Co     2     5     6      0.000000      7.247103      0.000000      7.247103      1.3232436     18.0036449
    2     Co    2     Co     2     6     7      7.247103      0.000000      0.000000      7.247103      1.3232445     18.0036565
    2     Co    2     Co     3     1     8     -7.247103     -7.247103      0.000000     10.248951     -0.0284935     -0.3876743
    2     Co    2     Co     3     2     9     -7.247103      0.000000     -7.247103     10.248951     -0.0284934     -0.3876725
    2     Co    2     Co     3     3    10     -7.247103      0.000000      7.247103     10.248951     -0.0284949     -0.3876923
    2     Co    2     Co     3     4    11     -7.247103      7.247103      0.000000     10.248951     -0.0284950     -0.3876941
    2     Co    2     Co     3     5    12      0.000000     -7.247103     -7.247103     10.248951     -0.0284935     -0.3876741
    2     Co    2     Co     3     6    13      0.000000     -7.247103      7.247103     10.248951     -0.0284950     -0.3876940
    2     Co    2     Co     3     7    14      0.000000      7.247103     -7.247103     10.248951     -0.0284950     -0.3876940
    2     Co    2     Co     3     8    15      0.000000      7.247103      7.247103     10.248951     -0.0284964     -0.3877138
    2     Co    2     Co     3     9    16      7.247103     -7.247103      0.000000     10.248951     -0.0284950     -0.3876941
    2     Co    2     Co     3    10    17      7.247103      0.000000     -7.247103     10.248951     -0.0284949     -0.3876923
    2     Co    2     Co     3    11    18      7.247103      0.000000      7.247103     10.248951     -0.0284963     -0.3877121
    2     Co    2     Co     3    12    19      7.247103      7.247103      0.000000     10.248951     -0.0284965     -0.3877140
    2     Co    2     Co     4     1    20     -7.247103     -7.247103     -7.247103     12.552350     -0.0192686     -0.2621630
    2     Co    2     Co     4     2    21     -7.247103     -7.247103      7.247103     12.552350     -0.0192690     -0.2621679
    2     Co    2     Co     4     3    22     -7.247103      7.247103     -7.247103     12.552350     -0.0192690     -0.2621679
    2     Co    2     Co     4     4    23     -7.247103      7.247103      7.247103     12.552350     -0.0192693     -0.2621727
    2     Co    2     Co     4     5    24      7.247103     -7.247103     -7.247103     12.552350     -0.0192690     -0.2621679
    2     Co    2     Co     4     6    25      7.247103     -7.247103      7.247103     12.552350     -0.0192693     -0.2621727
    2     Co    2     Co     4     7    26      7.247103      7.247103     -7.247103     12.552350     -0.0192693     -0.2621727
    2     Co    2     Co     4     8    27      7.247103      7.247103      7.247103     12.552350     -0.0192697     -0.2621776
    2     Co    2     Co     5     1    28    -14.494205      0.000000      0.000000     14.494205      0.1798142      2.4464969
    2     Co    2     Co     5     2    29      0.000000    -14.494205      0.000000     14.494205      0.1798140      2.4464945
    2     Co    2     Co     5     3    30      0.000000      0.000000    -14.494205     14.494205      0.1798142      2.4464971
    2     Co    2     Co     5     4    31      0.000000      0.000000     14.494205     14.494205      0.1798074      2.4464038
    2     Co    2     Co     5     5    32      0.000000     14.494205      0.000000     14.494205      0.1798072      2.4464012
    2     Co    2     Co     5     6    33     14.494205      0.000000      0.000000     14.494205      0.1798074      2.4464036
    2     Co    2     Co     6     1    34    -14.494205     -7.247103      0.000000     16.205014     -0.0298432     -0.4060367
    2     Co    2     Co     6     2    35    -14.494205      0.000000     -7.247103     16.205014     -0.0298432     -0.4060367
    2     Co    2     Co     6     3    36    -14.494205      0.000000      7.247103     16.205014     -0.0298440     -0.4060480
    2     Co    2     Co     6     4    37    -14.494205      7.247103      0.000000     16.205014     -0.0298440     -0.4060480
    2     Co    2     Co     6     5    38     -7.247103    -14.494205      0.000000     16.205014     -0.0298432     -0.4060369
    2     Co    2     Co     6     6    39     -7.247103      0.000000    -14.494205     16.205014     -0.0298431     -0.4060367
    2     Co    2     Co     6     7    40     -7.247103      0.000000     14.494205     16.205014     -0.0298412     -0.4060099
    2     Co    2     Co     6     8    41     -7.247103     14.494205      0.000000     16.205014     -0.0298412     -0.4060101
